"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1973","test","Sauce Demo SmokeTest","Thu Dec 12 16:50:35 GMT 2024","passed","Thu Dec 12 16:50:37 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"","1709","Проверка ошибки , при переходе на страницу Checkout: Overview","Sauce Demo SmokeTest","Thu Dec 12 16:50:39 GMT 2024","passed","Thu Dec 12 16:50:40 GMT 2024","tests.CheckoutTest","Thread#1","tests.CheckoutTest","checkErrorMassageIfFirstNameEmpty"
"","744","test","Sauce Demo SmokeTest","Thu Dec 12 16:50:38 GMT 2024","passed","Thu Dec 12 16:50:38 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"","563","Проверка ошибки, при пустом пароля","Sauce Demo SmokeTest","Thu Dec 12 16:50:41 GMT 2024","passed","Thu Dec 12 16:50:42 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginEmptyPassword"
"","677","Проверка удаления одного продукта из нескольких","Sauce Demo SmokeTest","Thu Dec 12 16:50:44 GMT 2024","passed","Thu Dec 12 16:50:45 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkRemoveOneProductFromSome"
"","1650","Проверка добавления нескольких продуктов в корзину","Sauce Demo SmokeTest","Thu Dec 12 16:50:38 GMT 2024","passed","Thu Dec 12 16:50:40 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkAddedSomeProductsToCart"
"","726","test","Sauce Demo SmokeTest","Thu Dec 12 16:50:39 GMT 2024","passed","Thu Dec 12 16:50:40 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"","561","Проверка ошибки, при пустом логине","Sauce Demo SmokeTest","Thu Dec 12 16:50:42 GMT 2024","passed","Thu Dec 12 16:50:43 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginEmptyUserName"
"","10608","Проверка удаления продуктов из корзины","Sauce Demo SmokeTest","Thu Dec 12 16:50:46 GMT 2024","passed","Thu Dec 12 16:50:56 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkRemoveProduct"
"","780","Проверка описания добавленного продукта в корзину","Sauce Demo SmokeTest","Thu Dec 12 16:50:40 GMT 2024","passed","Thu Dec 12 16:50:41 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkDescriptionOfProduct"
"","3081","Проверка перехода на страницу Checkout: Overview","Sauce Demo SmokeTest","Thu Dec 12 16:50:35 GMT 2024","passed","Thu Dec 12 16:50:38 GMT 2024","tests.CheckoutTest","Thread#1","tests.CheckoutTest","checkCheckout"
"","2431","Проверка названия добавленного продукта в корзину","Sauce Demo SmokeTest","Thu Dec 12 16:50:35 GMT 2024","passed","Thu Dec 12 16:50:37 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkAddedOneProductToCart"
"","617","Проверка позитивного логина","Sauce Demo SmokeTest","Thu Dec 12 16:50:43 GMT 2024","passed","Thu Dec 12 16:50:44 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"","870","Проверка цены добавленного продукта в корзину","Sauce Demo SmokeTest","Thu Dec 12 16:50:43 GMT 2024","passed","Thu Dec 12 16:50:44 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkPriceOfProduct"
"","692","Проверка ошибки, при неверном логине","Sauce Demo SmokeTest","Thu Dec 12 16:50:40 GMT 2024","passed","Thu Dec 12 16:50:41 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginEmptyWrongUserName"
"","620","Проверка возврата на страницу продуктов","Sauce Demo SmokeTest","Thu Dec 12 16:50:56 GMT 2024","passed","Thu Dec 12 16:50:57 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkReturnToProduct"
