"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","742","Проверка удаления одного продукта из нескольких","Sauce Demo SmokeTest","Thu Dec 12 17:51:19 GMT 2024","passed","Thu Dec 12 17:51:20 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkRemoveOneProductFromSome"
"","561","Проверка ошибки, при пустом пароля","Sauce Demo SmokeTest","Thu Dec 12 17:51:16 GMT 2024","passed","Thu Dec 12 17:51:17 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginEmptyPassword"
"","10631","Проверка удаления продуктов из корзины","Sauce Demo SmokeTest","Thu Dec 12 17:51:20 GMT 2024","passed","Thu Dec 12 17:51:31 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkRemoveProduct"
"","667","test","Sauce Demo SmokeTest","Thu Dec 12 17:51:14 GMT 2024","passed","Thu Dec 12 17:51:15 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"","1570","Проверка названия добавленного продукта в корзину","Sauce Demo SmokeTest","Thu Dec 12 17:51:11 GMT 2024","passed","Thu Dec 12 17:51:13 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkAddedOneProductToCart"
"","613","Проверка ошибки, при пустом логине","Sauce Demo SmokeTest","Thu Dec 12 17:51:17 GMT 2024","passed","Thu Dec 12 17:51:18 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginEmptyUserName"
"","586","Проверка возврата на страницу продуктов","Sauce Demo SmokeTest","Thu Dec 12 17:51:31 GMT 2024","passed","Thu Dec 12 17:51:32 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkReturnToProduct"
"","551","Проверка ошибки, при неверном логине","Sauce Demo SmokeTest","Thu Dec 12 17:51:15 GMT 2024","passed","Thu Dec 12 17:51:16 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginEmptyWrongUserName"
"","2172","Проверка перехода на страницу Checkout: Overview","Sauce Demo SmokeTest","Thu Dec 12 17:51:11 GMT 2024","passed","Thu Dec 12 17:51:13 GMT 2024","tests.CheckoutTest","Thread#1","tests.CheckoutTest","checkCheckout"
"","1019","test","Sauce Demo SmokeTest","Thu Dec 12 17:51:11 GMT 2024","passed","Thu Dec 12 17:51:12 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"","630","Проверка позитивного логина","Sauce Demo SmokeTest","Thu Dec 12 17:51:19 GMT 2024","passed","Thu Dec 12 17:51:19 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"","870","Проверка описания добавленного продукта в корзину","Sauce Demo SmokeTest","Thu Dec 12 17:51:15 GMT 2024","passed","Thu Dec 12 17:51:16 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkDescriptionOfProduct"
"","1615","Проверка ошибки , при переходе на страницу Checkout: Overview","Sauce Demo SmokeTest","Thu Dec 12 17:51:14 GMT 2024","passed","Thu Dec 12 17:51:15 GMT 2024","tests.CheckoutTest","Thread#1","tests.CheckoutTest","checkErrorMassageIfFirstNameEmpty"
"","714","Проверка цены добавленного продукта в корзину","Sauce Demo SmokeTest","Thu Dec 12 17:51:18 GMT 2024","passed","Thu Dec 12 17:51:18 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkPriceOfProduct"
"","769","test","Sauce Demo SmokeTest","Thu Dec 12 17:51:13 GMT 2024","passed","Thu Dec 12 17:51:13 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"","1332","Проверка добавления нескольких продуктов в корзину","Sauce Demo SmokeTest","Thu Dec 12 17:51:13 GMT 2024","passed","Thu Dec 12 17:51:15 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkAddedSomeProductsToCart"
